Text,Sentiment
@ysuckme Bold wisdom from a social media guru: Life's too short to sweat the small stuff. Transform anxiety into action and watch your potential skyrocket like an entrepreneurial rocket ship.,Positive
DONT TEXT ME I GET SOCIAL MEDIA ANXIETY,Negative
"@ashleyann_atx I'm trying to SEVERELY limit my time on here, because I've realized that spending hours here each day is bad for my mental health, but I don't see myself ever going away entirely. Right now, I can't be bothered to set up an account elsewhere. Better for me to limit social media.",Negative
"@HeeralalNigam The Excessive use of social media can lead to sleep deprivation, which affects mental and physical health...✍️💐",Negative
"@AOCpressTwo @elonmusk This loser doesn’t allow comments on any of her social media platforms. She only except wokeness on there because they agree with her. Her platform is filled with vagina hat wearing women, mental health , drug users, and  Karen’s . Stop lying to the people!",Negative
Australian governments intend to ban social media for children under 14 but critics say this won't work because they could access more risky websites. Some mental health experts argue that children would be prevented from reaching the mental health help sources by this measure.,Negative
I’ve decided to take a break from mental health to focus on social media.,Neutral
I hate sharing war news kasi i dont want to trigger my anxiety further by making it part of my social media but this one is big and scary. It could trigger a nuclear war. I've been scared since 2022 whether its this war or the other conflicts. Lets all pray for peace to prevail. https://t.co/IhPT17nlZj,Negative
"@MisterYoso0308 @mustardsauuuce the thing is wala kaseng expectation sa mga yan dahil hindi naman sila pa righteous sa social media. It’s Nadine being vocal on her social advocacies such as mental health awareness, youth empowerment and many more. It’s Nadine now being inconsistent with her values.",Negative
"- 40% identify as non-binary or gender-fluid
- 30% have a chronic health condition or disability
- 25% have taken a break from social media due to mental health concerns

Keep in mind that these are generalizations, and individual experiences may vary widely. I finally know https://t.co/QFDAH1Flck",Neutral
"Ek se..

While social media provides a platform for creativity and connection, it also comes with significant risks to mental health challenges that sometimes lead to poor decisions, in pursuit of attention or validation..",Negative
"@coleisepic Social media is so terrible for the mental health of so many people like this person should not be on it, it is not good for them.",Negative
"I’m taking a social media break for my mental health.

If you need to reach out me, I’ll be active here on Discord @ResoluteMaverik",Neutral
"I’m taking a social media break for my mental health.

If you need to reach out me, I’ll be active here on Discord @ResoluteMaverik",Neutral
"Thinking about quitting social media? There may be another option, B.C. researcher says. Strategies for mitigating the negative mental health effects of social media tend to focus on reducing time spent scrolling, way to limit the harm without logging off. https://t.co/MFVkL80vIR",Neutral
"@theenfared @oyster_doctor Social media is not a human right, if you have problems with mental health and social media, then you shouldn’t be on it.",Negative
"sorry for not posting a little more regularly. After the election, I kinda needed a social media break. the world is in a state of deep depression. I wish I could shield everyone from the negativity, but that's just not humanly possible.. all we can do is shield ourselves. 🫥",Negative
"@IsabellaJacobIJ There’s quite a few elements involved in including some are prescription drugs, fluoride in water, poor diets due to ultra processed foods, and studies show too much social media also can effect mental health",Negative
The Social Dilemma really opened my eyes to how social media impacts mental health and society. The instant gratification aspect is something I hadn’t fully considered before. #UCWCOMM102 @WahibaChair https://t.co/Zv8D3zIGAk,Neutral
@WahibaChair @netflix The Social Dilemma really opened my eyes to how social media impacts mental health and society. The instant gratification aspect is something I hadn’t fully considered before. #UCWCOMM102 @WahibaChair,Neutral
"@PeterDutton_MP People are rightly concerned about their privacy. 

You are talking about banning under 16s from social media for their mental health, yet still allowing them to access hard core porn. 

The only way it makes sense is if you want to digitally ID everyone and police their posts.",Negative
Huge rise in anxiety with advent of social media https://t.co/zfaD5blicF https://t.co/Jft9A4PI25,Negative
@PeterDutton_MP Both are harmful and take agency away from citizens and their own children. You can do education sessions at school on how to turn delete your social media if it’s affecting your mental health. This bill and the missing one is not about kids’ health,Negative
