Text,Created At,Cleaned Text
"@wideawake_media I did, and the answer is zero to each question, because we were too busy leading active lives and enthusiastic about learning;
ie:
NOT addicted to social media, vacuous ‘influencers’ or screen based gaming;
and NOT listening to media &amp; official claptrap about ‘mental health’.",2025-06-27 10:41:58+00:00,"wideawakemedia i did and the answer is zero to each question because we were too busy leading active lives and enthusiastic about learning
ie
not addicted to social media vacuous influencers or screen based gaming
and not listening to media amp official claptrap about mental health"
"Social media''s impact on mental health is a complex issue, with both positive and negative effects depending on individual usage patterns. https://t.co/D0ylF4UrI5",2025-06-27 10:39:04+00:00,social medias impact on mental health is a complex issue with both positive and negative effects depending on individual usage patterns
@Manutdfan2022 How many names do you have? Were you not called Donald or something previously? Making videos and going on social media won't help your mental health.,2025-06-27 10:21:13+00:00,manutdfan how many names do you have were you not called donald or something previously making videos and going on social media wont help your mental health
"There is so much to witness in the world today. Social media undoubtedly acts as a significant source of negativity, anxiety &amp; depression. It can be overwhelming to see everything out there. If you're earning a decent income, it's best to avoid trying to make money from SM....🤦",2025-06-27 10:19:23+00:00,there is so much to witness in the world today social media undoubtedly acts as a significant source of negativity anxiety amp depression it can be overwhelming to see everything out there if youre earning a decent income its best to avoid trying to make money from sm
"Death Stranding only after work. No exceptions. 

Mental health requirement!😮‍💨🤗

(A break from social media wouldn't hurt ) https://t.co/Izqc23cR41",2025-06-27 10:18:57+00:00,"death stranding only after work no exceptions 

mental health requirement

a break from social media wouldnt hurt"
"Some people get addicted to checking their Snapchat constantly, leading to a certain level of social media anxiety. https://t.co/ZzISQMHFtF",2025-06-27 10:11:59+00:00,some people get addicted to checking their snapchat constantly leading to a certain level of social media anxiety
"The constant stream of content on social media can be overwhelming, leading to information overload and potential feelings of anxiety or inadequacy. https://t.co/TEgu4kmp24",2025-06-27 10:08:02+00:00,the constant stream of content on social media can be overwhelming leading to information overload and potential feelings of anxiety or inadequacy
Social media can lead to anxiety and depression. Users must develop awareness and self-regulation to avoid getting overwhelmed by the online world. https://t.co/JkEKB9vUkR,2025-06-27 09:56:43+00:00,social media can lead to anxiety and depression users must develop awareness and selfregulation to avoid getting overwhelmed by the online world
"@Keir_Starmer I'd like to see our government try to figure out why there are so many mental health issues. Maybe look into chemicals put in food, social media, and the education system. Solve the problem, don't just put a plaster on it.",2025-06-27 09:46:36+00:00,keirstarmer id like to see our government try to figure out why there are so many mental health issues maybe look into chemicals put in food social media and the education system solve the problem dont just put a plaster on it
"@ariascreator The person is critiquing the pursuit of social media validation, like likes or reposts, arguing it undermines confidence and self-worth, favoring factual information over opinions. Research suggests validation-seeking can harm self-esteem and increase anxiety through social",2025-06-27 09:46:00+00:00,ariascreator the person is critiquing the pursuit of social media validation like likes or reposts arguing it undermines confidence and selfworth favoring factual information over opinions research suggests validationseeking can harm selfesteem and increase anxiety through social
@Namegoeshere474 @_celia_bedelia_ My take is they gave up social media for a while removed themselves from the bubble of affirmation woke up and realised the harm they had done to themselves when they were too young to know what they were doing and experiencing mental health issues.,2025-06-27 09:37:34+00:00,namegoeshere celiabedelia my take is they gave up social media for a while removed themselves from the bubble of affirmation woke up and realised the harm they had done to themselves when they were too young to know what they were doing and experiencing mental health issues
Legislation requiring social media sites to display warning labels to users is gaining traction in statehouses after courts blocked age-verification and parental consent laws. https://t.co/yOIeYCbX3t,2025-06-27 09:35:16+00:00,legislation requiring social media sites to display warning labels to users is gaining traction in statehouses after courts blocked ageverification and parental consent laws
"@Keir_Starmer Ban social media for kids under 14 first, you stupid fuck. Lower the workload of mental health workers by half. Improve outcomes. Show billionaires the finger.",2025-06-27 09:31:34+00:00,keirstarmer ban social media for kids under  first you stupid fuck lower the workload of mental health workers by half improve outcomes show billionaires the finger
"Social media fuels anxiety, depression, and self-doubt through endless comparison, curated facades, and dopamine overload. It distorts reality, erodes focus, and breeds negativity. Stop using it now—delete apps, ditch the phone https://t.co/4zWeNdBeld",2025-06-27 09:27:16+00:00,social media fuels anxiety depression and selfdoubt through endless comparison curated facades and dopamine overload it distorts reality erodes focus and breeds negativity stop using it nowdelete apps ditch the phone
"@David_Jamieson7 @AscendedYield Mental health problems are rising everywhere in the west (eg 18% of adults in 2009 to 30% in 2019 in US). The UK’s benefits system is more generous/kind/gullible/crooked than others maybe, but it’s happening everywhere. It coincides with social media use obvs",2025-06-27 09:24:24+00:00,davidjamieson ascendedyield mental health problems are rising everywhere in the west eg  of adults in  to  in  in us the uks benefits system is more generouskindgulliblecrooked than others maybe but its happening everywhere it coincides with social media use obvs
@TheBuckYouWill Financial anxiety outcomes on social media,2025-06-27 09:00:07+00:00,thebuckyouwill financial anxiety outcomes on social media
"Matt’s Viral “Broken Light Bulb” Speech: Men’s Mental Health &amp; America’s Decline

Join host Matt on the June 27, 2025, episode of Off Topic Show as he revisits a powerful viral video that captured 5 million views across YouTube and social media, perfectly timed for Men’s Mental https://t.co/iRA9Ry57rQ",2025-06-27 08:58:23+00:00,"matts viral broken light bulb speech mens mental health amp americas decline

join host matt on the june   episode of off topic show as he revisits a powerful viral video that captured  million views across youtube and social media perfectly timed for mens mental"
"@simoncase78 @Matt_Camenzuli Because working and paying taxes aren’t a major cause of the teenage mental health crisis. Google may not be either, but certainly social media is",2025-06-27 08:56:59+00:00,simoncase mattcamenzuli because working and paying taxes arent a major cause of the teenage mental health crisis google may not be either but certainly social media is
"@Grummz As I’m sure some have heard, the uk has on occasion been sending police around due to social media posts people make. I don’t think this is a good idea, but it occurred that perhaps instead of police, when things like this happen, if doctors/mental health professionals should",2025-06-27 08:54:44+00:00,grummz as im sure some have heard the uk has on occasion been sending police around due to social media posts people make i dont think this is a good idea but it occurred that perhaps instead of police when things like this happen if doctorsmental health professionals should
@SD73660 If you let Trump effect you to that extent you need mental health services.  Otherwise your oh so dramatic move in Ireland and desperate attempts to be relevant in America are for naughty.  Get off social media and go live your life you deranged freak.,2025-06-27 08:48:07+00:00,sd if you let trump effect you to that extent you need mental health services  otherwise your oh so dramatic move in ireland and desperate attempts to be relevant in america are for naughty  get off social media and go live your life you deranged freak
"Mental health can be affected by excessive social media use, leading to feelings of inadequacy, anxiety, and social comparison.",2025-06-27 08:43:18+00:00,mental health can be affected by excessive social media use leading to feelings of inadequacy anxiety and social comparison
@jakeshieldsajj If you have anxiety why are you broadcasting it on social media?,2025-06-27 08:41:14+00:00,jakeshieldsajj if you have anxiety why are you broadcasting it on social media
"She decided to write an article, a personal reflection on the impact of social media on mental health, sharing her experiences.",2025-06-27 08:40:22+00:00,she decided to write an article a personal reflection on the impact of social media on mental health sharing her experiences
"My team and I have been strong campaigners for Sound mental health  in our work places, family and society.  Join us today by sharing our post across all social media platforms. https://t.co/HCiFfjMuZW",2025-06-27 08:37:02+00:00,my team and i have been strong campaigners for sound mental health  in our work places family and society  join us today by sharing our post across all social media platforms
